iter	Passed	Remaining
410	4101	40807
411	4110	40787
412	4120	40777
413	4130	40766
414	4139	40749
415	4149	40732
416	4158	40716
417	4167	40696
418	4176	40677
419	4185	40663
420	4195	40649
421	4205	40636
422	4214	40625
423	4224	40607
424	4233	40591
425	4243	40582
426	4253	40570
427	4263	40561
428	4272	40545
429	4281	40527
430	4291	40512
431	4300	40498
432	4310	40486
433	4319	40472
434	4329	40457
435	4339	40445
436	4349	40439
437	4358	40422
438	4368	40410
439	4378	40405
440	4389	40400
441	4399	40388
442	4408	40372
443	4418	40364
444	4428	40357
445	4438	40348
446	4448	40338
447	4458	40324
448	4468	40311
449	4477	40298
450	4487	40283
451	4496	40269
452	4506	40256
453	4515	40239
454	4525	40230
455	4534	40216
456	4544	40200
457	4553	40187
458	4563	40178
459	4572	40158
460	4582	40149
461	4591	40133
462	4601	40125
463	4611	40114
464	4622	40114
465	4642	40189
466	4652	40178
467	4662	40170
468	4672	40160
469	4682	40152
470	4692	40141
471	4702	40132
472	4712	40117
473	4721	40104
474	4731	40093
475	4741	40083
476	4751	40073
477	4761	40061
478	4771	40050
479	4781	40040
480	4790	40029
481	4800	40014
482	4808	39994
483	4818	39982
484	4829	39977
485	4838	39964
486	4849	39957
487	4859	39950
488	4869	39939
489	4879	39930
490	4888	39917
491	4898	39905
492	4907	39887
493	4917	39878
494	4927	39863
495	4937	39856
496	4946	39843
497	4956	39832
498	4966	39820
499	4975	39807
500	4985	39791
501	4994	39775
502	5004	39764
503	5013	39750
504	5023	39737
505	5032	39725
506	5042	39714
507	5051	39697
508	5061	39685
509	5070	39665
510	5079	39654
511	5089	39641
512	5098	39623
513	5108	39615
514	5118	39607
515	5128	39598
516	5138	39586
517	5148	39578
518	5158	39565
519	5168	39559
520	5177	39545
521	5188	39539
522	5197	39525
523	5207	39514
524	5217	39502
525	5227	39492
526	5236	39479
527	5246	39470
528	5256	39460
529	5266	39452
530	5277	39448
531	5287	39434
532	5297	39430
533	5307	39418
534	5317	39407
535	5326	39393
536	5336	39381
537	5345	39369
538	5355	39358
539	5365	39348
540	5375	39336
541	5385	39326
542	5394	39314
543	5404	39303
544	5414	39295
545	5424	39282
546	5434	39272
547	5444	39261
548	5453	39247
549	5462	39232
550	5473	39226
551	5482	39214
552	5492	39199
553	5501	39187
554	5511	39178
555	5521	39165
556	5530	39152
557	5541	39145
558	5550	39133
559	5560	39122
560	5570	39112
561	5580	39105
562	5591	39100
563	5601	39093
564	5612	39091
565	5623	39083
566	5635	39087
567	5645	39084
568	5656	39077
569	5665	39064
570	5675	39050
571	5684	39036
572	5694	39024
573	5703	39012
574	5713	39000
575	5723	38990
576	5732	38975
577	5742	38966
578	5752	38957
579	5762	38948
580	5772	38939
581	5782	38928
582	5792	38917
583	5802	38909
584	5812	38899
585	5822	38888
586	5831	38875
587	5841	38865
588	5851	38852
589	5860	38841
590	5870	38829
591	5880	38821
592	5890	38811
593	5900	38797
594	5910	38788
595	5920	38780
596	5930	38772
597	5940	38761
598	5949	38747
599	5960	38741
600	5970	38732
601	5980	38723
602	5990	38711
603	5999	38701
604	6010	38693
605	6019	38677
606	6028	38662
607	6037	38649
608	6047	38635
609	6056	38622
610	6065	38605
611	6074	38593
612	6084	38582
613	6095	38575
614	6104	38562
615	6113	38546
616	6123	38536
617	6133	38528
618	6143	38519
619	6154	38513
620	6163	38499
621	6173	38488
622	6183	38481
623	6194	38476
624	6204	38469
625	6214	38460
626	6224	38449
627	6234	38437
628	6244	38428
629	6254	38419
630	6264	38411
631	6275	38405
632	6285	38395
633	6294	38383
634	6304	38371
635	6313	38358
636	6323	38349
637	6334	38343
638	6344	38332
639	6354	38322
640	6364	38317
641	6374	38307
642	6384	38296
643	6394	38286
644	6404	38277
645	6414	38267
646	6423	38255
647	6433	38245
648	6443	38236
649	6453	38223
650	6462	38209
651	6473	38202
652	6482	38191
653	6491	38176
654	6501	38162
655	6511	38154
656	6521	38144
657	6531	38137
658	6541	38126
659	6550	38111
660	6560	38104
661	6571	38096
662	6580	38084
663	6590	38075
664	6600	38064
665	6609	38050
666	6619	38040
667	6629	38029
668	6640	38025
669	6649	38013
670	6659	37999
671	6669	37989
672	6679	37983
673	6689	37972
674	6699	37965
675	6711	37965
676	6721	37954
677	6731	37947
678	6742	37940
679	6752	37930
680	6761	37920
681	6772	37912
682	6782	37903
683	6793	37898
684	6803	37889
685	6813	37881
686	6822	37867
687	6831	37851
688	6841	37843
689	6851	37830
690	6860	37817
691	6871	37810
692	6881	37801
693	6891	37791
694	6900	37778
695	6910	37770
696	6919	37757
697	6929	37746
698	6940	37738
699	6950	37731
700	6960	37722
701	6971	37719
702	6981	37708
703	6992	37704
704	7003	37701
705	7015	37699
706	7026	37694
707	7037	37694
708	7049	37693
709	7060	37689
710	7071	37682
711	7080	37671
712	7091	37663
713	7100	37652
714	7111	37644
715	7121	37638
716	7132	37630
717	7142	37620
718	7151	37608
719	7161	37595
720	7171	37587
721	7181	37578
722	7190	37565
723	7200	37553
724	7209	37540
725	7219	37531
726	7229	37520
727	7239	37511
728	7249	37498
729	7259	37489
730	7268	37477
731	7278	37465
732	7287	37453
733	7298	37444
734	7307	37433
735	7317	37424
736	7328	37416
737	7337	37402
738	7346	37388
739	7355	37376
740	7365	37365
741	7375	37354
742	7385	37345
743	7395	37337
744	7406	37330
745	7416	37321
746	7426	37311
747	7436	37300
748	7446	37292
749	7456	37282
750	7466	37271
751	7476	37263
752	7486	37255
753	7496	37243
754	7506	37233
755	7516	37222
756	7526	37213
757	7535	37202
758	7545	37192
759	7555	37178
760	7564	37166
761	7574	37158
762	7584	37148
763	7594	37139
764	7604	37127
765	7614	37119
766	7624	37108
767	7634	37098
768	7643	37085
769	7654	37077
770	7663	37064
771	7673	37053
772	7682	37041
773	7693	37034
774	7703	37025
775	7713	37017
776	7723	37006
777	7733	36995
778	7742	36984
779	7752	36975
780	7762	36965
781	7773	36957
782	7783	36948
783	7793	36937
784	7802	36925
785	7813	36921
786	7824	36914
787	7833	36899
788	7843	36890
789	7854	36884
790	7864	36876
791	7874	36866
792	7884	36859
793	7895	36853
794	7906	36846
795	7916	36837
796	7926	36829
797	7936	36817
798	7946	36807
799	7956	36798
800	7966	36789
801	7977	36781
802	7986	36769
803	7996	36758
804	8006	36750
805	8016	36738
806	8026	36729
807	8036	36722
808	8047	36715
809	8057	36708
810	8067	36698
811	8077	36686
812	8087	36678
813	8097	36666
814	8107	36656
815	8116	36641
816	8136	36676
817	8146	36668
818	8156	36659
819	8167	36652
820	8178	36647
821	8188	36638
822	8197	36626
823	8208	36617
824	8217	36604
825	8227	36594
826	8236	36582
827	8246	36573
828	8256	36560
829	8266	36550
830	8275	36535
831	8285	36529
832	8295	36519
833	8306	36510
834	8316	36504
835	8326	36492
836	8336	36482
837	8346	36472
838	8355	36461
839	8365	36450
840	8375	36440
841	8385	36431
842	8396	36424
843	8406	36412
844	8416	36403
845	8426	36396
846	8436	36384
847	8446	36375
848	8456	36365
849	8465	36353
850	8475	36340
851	8485	36330
852	8495	36322
853	8505	36311
854	8514	36300
855	8525	36292
856	8534	36279
857	8545	36272
858	8556	36265
859	8565	36255
860	8575	36244
861	8585	36233
862	8595	36224
863	8605	36214
864	8614	36202
865	8625	36194
866	8635	36186
867	8644	36173
868	8654	36162
869	8664	36150
870	8674	36140
871	8684	36131
872	8693	36119
873	8704	36112
874	8714	36104
875	8725	36097
876	8735	36087
877	8745	36077
878	8756	36070
879	8765	36059
880	8775	36050
881	8786	36041
882	8796	36033
883	8806	36024
884	8817	36018
885	8827	36006
886	8837	35996
887	8848	35990
888	8857	35979
889	8867	35968
890	8877	35958
891	8887	35949
892	8897	35940
893	8908	35933
894	8918	35921
895	8928	35913
896	8938	35902
897	8947	35890
898	8957	35881
899	8967	35868
900	8976	35857
901	8986	35844
902	8995	35833
903	9005	35823
904	9015	35812
905	9025	35801
906	9034	35789
907	9044	35777
908	9054	35768
909	9063	35755
910	9073	35747
911	9082	35733
912	9093	35724
913	9103	35718
914	9113	35708
915	9123	35695
916	9132	35684
917	9142	35672
918	9152	35662
919	9162	35652
920	9171	35639
921	9181	35629
922	9191	35621
923	9201	35609
924	9211	35601
925	9221	35591
926	9231	35579
927	9240	35569
928	9250	35558
929	9260	35547
930	9269	35535
931	9278	35522
932	9288	35512
933	9298	35503
934	9308	35490
935	9318	35483
936	9328	35474
937	9339	35465
938	9349	35456
939	9359	35445
940	9368	35432
941	9378	35423
942	9387	35410
943	9397	35400
944	9408	35392
945	9418	35383
946	9428	35374
947	9438	35364
948	9449	35356
949	9458	35346
950	9468	35335
951	9477	35322
952	9488	35314
953	9497	35302
954	9507	35290
955	9517	35280
956	9526	35269
957	9536	35258
958	9545	35246
959	9555	35236
960	9566	35228
961	9576	35218
962	9584	35204
963	9595	35194
964	9604	35184
965	9614	35173
966	9624	35161
967	9633	35151
968	9642	35137
969	9652	35128
970	9662	35118
971	9673	35109
972	9683	35099
973	9693	35092
974	9703	35083
975	9712	35070
976	9722	35059
977	9732	35049
978	9743	35041
979	9753	35033
980	9763	35024
981	9774	35015
982	9784	35005
983	9793	34995
984	9803	34984
985	9813	34974
986	9823	34965
987	9833	34954
988	9843	34945
989	9854	34937
990	9864	34927
991	9874	34918
992	9884	34909
993	9894	34898
994	9903	34886
995	9913	34876
996	9923	34865
997	9932	34852
998	9942	34841
999	9952	34832
1000	9962	34823
1001	9972	34813
1002	9982	34805
1003	9992	34795
1004	10002	34784
1005	10012	34773
1006	10022	34763
1007	10031	34752
1008	10041	34743
1009	10051	34733
